,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL
0,Feel music,2024-06-10 10:00:00,120.0,Opéra de Sydney,"#Bennelong Point Sydney, NSW 2000",0.0,0.0,Going fast,https://www.eventbrite.com.au/e/feel-music-tickets-894977811727?aff=ebdssbdestsearch
1,Harmony Festival Sydney 2024,2024-06-10 18:30:00,150.0,2 Australia Ave,"nue Sydney Olympic Park, NSW 2127",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/harmony-festival-sydney-2024-tickets-910122429687?aff=ebdssbdestsearch
2,Silent Disco Party Walk - Vivid Tours - Circular Quay,2024-06-10 18:30:00,,Customs House,"31 Alfred St Sydney, NSW 2000",0.0,69.07,Sales end soon,https://www.eventbrite.com.au/e/silent-disco-party-walk-vivid-tours-circular-quay-tickets-882707811827?aff=ebdssbdestsearch
3,VIVID SYDNEY Silent Disco Tour by DISCO LOCO,2024-06-10 19:00:00,,Chinese Garden of Friendship,"Cnr Harbour Street Darling Harbour, NSW 2000",34.4,37.55,Sales end soon,https://www.eventbrite.com.au/e/vivid-sydney-silent-disco-tour-by-disco-loco-tickets-872264816547?aff=ebdssbdestsearch
4,Guitar School : Children - June,2024-06-11 16:00:00,,Wetherill Park Library,"561-583 Polding Street Wetherill Park, NSW 2164",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/guitar-school-children-june-tickets-896764666257?aff=ebdssbdestsearch
5,Guitar School: Youth/Adults - June,2024-06-11 17:00:00,,Wetherill Park Library,"561-583 Polding Street Wetherill Park, NSW 2164",0.0,0.0,Going fast,https://www.eventbrite.com.au/e/guitar-school-youthadults-june-tickets-896767113577?aff=ebdssbdestsearch
6,RINGO BINGO MUSIC BINGO CLARENDON TAVERN TUESDAYS,2024-06-11 19:00:00,,Clarendon Tavern,"244 Hawkesbury Valley Way Clarendon, NSW 2756",,,Sales end soon,https://www.eventbrite.com.au/e/ringo-bingo-music-bingo-clarendon-tavern-tuesdays-tickets-795811261907?aff=ebdssbdestsearch
7,"Soda Tuesday - Free Drink on Arrival, $1 HotDogs & Musical Bingo",2024-06-11 19:00:00,,The Soda Factory,"16 Wentworth Avenue Surry Hills, NSW 2010",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/soda-tuesday-free-drink-on-arrival-1-hotdogs-musical-bingo-tickets-517134070927?aff=ebdssbdestsearch
8,Tuesday Live Jazz,2024-06-11 19:30:00,,185 Glebe Point Rd,"185 Glebe Point Road Glebe, NSW 2037",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/tuesday-live-jazz-tickets-834606930797?aff=ebdssbdestsearch
9,Bondi Lines & Scary Canary Silent Disco Tuesday - Free Drink on Entry,2024-06-11 21:00:00,,The Scary Canary,"469 Kent Street Sydney, NSW 2000",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/bondi-lines-scary-canary-silent-disco-tuesday-free-drink-on-entry-tickets-621459571307?aff=ebdssbdestsearch
10,Music Production Workshop with Heaps Decent,2024-06-12 16:00:00,,Synergy Youth Centre,"8 Little Street Lane Cove, NSW 2066",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/music-production-workshop-with-heaps-decent-tickets-908016340317?aff=ebdssbdestsearch
11,Sheaf Wednesday - Free Drink on Arrival PRE 10PM,2024-06-12 19:00:00,,The Golden Sheaf,"429 New South Head Road Double Bay, NSW 2026",0.0,0.0,Sales end soon,https://www.eventbrite.com.au/e/sheaf-wednesday-free-drink-on-arrival-pre-10pm-tickets-558298625217?aff=ebdssbdestsearch
12,Wednesday Jazz Joints,2024-06-12 20:00:00,,The Dock,"182 Redfern Street Redfern, NSW 2016",0.0,0.0,,https://www.eventbrite.com.au/e/wednesday-jazz-joints-tickets-511364343517?aff=ebdssbdestsearch
13,Alex Sky Trio,2024-06-12 20:30:00,150.0,Foundry 616,"616 Harris Street Ultimo, NSW 2007",29.29,55.39,Sales end soon,https://www.eventbrite.com.au/e/alex-sky-trio-tickets-906443656377?aff=ebdssbdestsearch
14,RINGO BINGO MUSIC BINGO THURSDAYS PLUMPTON HOTEL,2024-06-13 19:00:00,,Plumpton Hotel,"556 Richmond Road Glendenning, NSW 2761",,,,https://www.eventbrite.com.au/e/ringo-bingo-music-bingo-thursdays-plumpton-hotel-tickets-391661388757?aff=ebdssbdestsearch
15,Vivid In The Harbour - Boat Party (18+),2024-06-13 19:00:00,,King St Wharf 3 - Cadman Cruises,"King St Wharf 3 Darling Harbour, NSW 2000",22.87,43.64,Sales end soon,https://www.eventbrite.com.au/e/vivid-in-the-harbour-boat-party-18-tickets-887447518417?aff=ebdssbdestsearch
16,Tourismo Album Launch,2024-06-13 20:30:00,150.0,Foundry 616,"616 Harris Street Ultimo, NSW 2007",21.98,48.08,Sales end soon,https://www.eventbrite.com.au/e/tourismo-album-launch-tickets-900090313357?aff=ebdssbdestsearch
17,La Cueva Superclub Thursdays | SYDNEY | THU 13 JUN  | CARRETE: CHILE NIGHT,2024-06-13 21:00:00,510.0,CULT,"33 Bayswater Road Potts Point, NSW 2011",7.5,17.86,Sales end soon,https://www.eventbrite.com.au/e/la-cueva-superclub-thursdays-sydney-thu-13-jun-carrete-chile-night-tickets-879969531557?aff=ebdssbdestsearch
18,Official End of Exams Vivid Boat Party,2024-06-13 21:00:00,,King Street Wharf 3 - Cadman Cruises,"King Street Wharf 3  - Cadman Cruises Darling Harbour, NSW 2000",17.68,22.87,Sales end soon,https://www.eventbrite.com.au/e/official-end-of-exams-vivid-boat-party-tickets-918679734817?aff=ebdssbdestsearch
19,The Ultimate Backpacker & International Boat Party  - Vivid Cruise,2024-06-13 21:00:00,,King St Wharf 3 - Cadman Cruises,"King Street Wharf 3 Sydney, NSW 2000",0.0,12.49,Sales end soon,https://www.eventbrite.com.au/e/the-ultimate-backpacker-international-boat-party-vivid-cruise-tickets-920566297577?aff=ebdssbdestsearch
20,Pearl Vivid (Weekend),2024-06-14 17:45:00,,King Street Wharf 3,"3 The Promenade Sydney, NSW 2000",34.39,68.84,Sales end soon,https://www.eventbrite.com.au/e/pearl-vivid-weekend-tickets-912478256027?aff=ebdssbdestsearch
21,Live @ the Library | Variety Night |18+ years,2024-06-14 18:00:00,150.0,Ryde Library,"1 Pope Street Ryde, NSW 2112",10.5,10.5,,https://www.eventbrite.com.au/e/live-the-library-variety-night-18-years-tickets-907257580847?aff=ebdssbdestsearch
22,Tapestry Album Tour,2024-06-14 19:00:00,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",24.9,24.9,,https://www.eventbrite.com.au/e/tapestry-album-tour-tickets-896873822747?aff=ebdssbdestsearch
23,Cardea Presents: Grecian Beats,2024-06-14 19:30:00,120.0,Cardea Sydney,"300 Barangaroo Avenue #Shop 2, T3.01 Barangaroo, NSW 2000",33.08,96.61,Going fast,https://www.eventbrite.com.au/e/cardea-presents-grecian-beats-tickets-888120441147?aff=ebdssbdestsearch
24,Argyle Friday x Bondi Lines: Free Entry pre 10pm OR Discounted Entry,2024-06-14 20:00:00,,The Argyle,"18 Argyle Street The Rocks, NSW 2000",0.0,12.64,,https://www.eventbrite.com.au/e/argyle-friday-x-bondi-lines-free-entry-pre-10pm-or-discounted-entry-tickets-415165349737?aff=ebdssbdestsearch
25,Argyle Fridays: Free Entry + Free Drink or $10 Anytime Entry,2024-06-14 20:00:00,,The Argyle,"18 Argyle Street The Rocks, NSW 2000",0.0,12.49,,https://www.eventbrite.com.au/e/argyle-fridays-free-entry-free-drink-or-10-anytime-entry-tickets-887328512467?aff=ebdssbdestsearch
26,FRIDAYS AT THE ALLEY PRESENT,2024-06-14 20:00:00,180.0,Agincourt Hotel,"871 George Street Sydney, NSW 2000",17.19,17.19,,https://www.eventbrite.com.au/e/fridays-at-the-alley-present-tickets-919769594617?aff=ebdssbdestsearch
27,Glass Island - 808 pres. VIVID FRIDAY - Fri 14 June - VIVID SYDNEY,2024-06-14 20:00:00,,Glass Island - check event info for Wharf Details,"King Street Wharf Darling Harbour Sydney, NSW 2000",49.4,49.4,Going fast,https://www.eventbrite.com.au/e/glass-island-808-pres-vivid-friday-fri-14-june-vivid-sydney-tickets-880645072117?aff=ebdssbdestsearch
28,ONE NIGHT ONLY! Boiler Room Setup ft. Rockafellas,2024-06-14 20:00:00,180.0,The Argyle,"18 Argyle Street The Rocks, NSW 2000",10.87,21.2,,https://www.eventbrite.com/e/one-night-only-boiler-room-setup-ft-rockafellas-tickets-893430814617?aff=ebdssbdestsearch
29,RANGEELA - Vivid Bollywood Cruise Party,2024-06-14 20:00:00,,King Street Wharf,"Sydney, NSW 2000",27.78,90.0,Almost full,https://www.eventbrite.com.au/e/rangeela-vivid-bollywood-cruise-party-tickets-880169870777?aff=ebdssbdestsearch
30,Soda Friday - Free Entry & Drink PRE 12AM,2024-06-14 20:00:00,,The Soda Factory,"16 Wentworth Avenue Surry Hills, NSW 2010",0.0,0.0,,https://www.eventbrite.com.au/e/soda-friday-free-entry-drink-pre-12am-tickets-461990314467?aff=ebdssbdestsearch
31,Neon Bollywood VIVID Cruise Vol.3,2024-06-14 20:30:00,,King Street Wharf Darling Harbour,"Lime Street Sydney, NSW 2000",22.49,43.66,,https://www.eventbrite.com.au/e/neon-bollywood-vivid-cruise-vol3-tickets-918110833217?aff=ebdssbdestsearch
32,Sydney's Biggest End of Semester Black Party.,2024-06-14 20:30:00,,King Street Wharf 3 - Cadman Cruises,"King Street Wharf 3 Darling Harbour, NSW 2000",28.07,61.81,Almost full,https://www.eventbrite.com.au/e/sydneys-biggest-end-of-semester-black-party-tickets-915014983447?aff=ebdssbdestsearch
33,BLISS,2024-06-14 21:00:00,300.0,The Civic Hotel,"388 Pitt Street Sydney, NSW 2000",17.19,33.08,,https://www.eventbrite.com/e/bliss-tickets-908061655857?aff=ebdssbdestsearch
34,Dock Fridays,2024-06-14 21:00:00,,The Dock,"182 Redfern Street Redfern, NSW 2016",0.0,0.0,,https://www.eventbrite.com.au/e/dock-fridays-tickets-529882351377?aff=ebdssbdestsearch
35,Pibe Cantina x Bondi Lines Discounted Entry & Free Drink,2024-06-14 21:00:00,,Kent St. Hotel,"349 Kent Street Sydney, NSW 2000",12.91,12.91,,https://www.eventbrite.com.au/e/pibe-cantina-x-bondi-lines-discounted-entry-free-drink-tickets-868813393247?aff=ebdssbdestsearch
36,STEPPERS ft. blkout. + SUPPORTS,2024-06-14 21:00:00,480.0,231 Oxford St,"reet Darlinghurst, NSW 2010",17.19,27.78,,https://www.eventbrite.com.au/e/steppers-ft-blkout-supports-tickets-911144346267?aff=ebdssbdestsearch
37,Vivid Latino - Cruise Party - Closing Night,2024-06-14 21:00:00,180.0,King Street Wharf 9,"Sydney, NSW 2000",25.13,48.96,,https://www.eventbrite.com.au/e/vivid-latino-cruise-party-closing-night-tickets-906444258177?aff=ebdssbdestsearch
38,FRI 14 JUNE - WAO SUPERCLUB @ IVY,2024-06-14 21:30:00,,ivy precinct,"330 George Street Sydney, NSW 2000",30.25,60.5,,https://www.eventbrite.com.au/e/fri-14-june-wao-superclub-ivy-tickets-906008254077?aff=ebdssbdestsearch
39,MYST NIGHTCLUB,2024-06-14 21:30:00,,Home Main Venue,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",27.5,64.99,,https://www.eventbrite.com.au/e/myst-nightclub-tickets-915834183697?aff=ebdssbdestsearch
40,Misery Swiftness: Swemo Night - Sydney (Plus One Co),2024-06-14 22:00:00,,Tokio Hotel,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",15.03,24.2,,https://www.eventbrite.com.au/e/misery-swiftness-swemo-night-sydney-plus-one-co-tickets-890045448897?aff=ebdssbdestsearch
41,NO PHOTOS - The Return,2024-06-14 22:00:00,300.0,Noir Sydney,"163 Oxford Street Darlinghurst, NSW 2010",0.0,0.0,,https://www.eventbrite.com/e/no-photos-the-return-tickets-911956665937?aff=ebdssbdestsearch
42,Pibe Cantina x Fiesta Neon | FRI 14 JUN | Kent St Hotel,2024-06-14 22:00:00,360.0,Kent Street Hotel,"349 Kent St Sydney, NSW 2000",0.0,12.68,,https://www.eventbrite.com.au/e/pibe-cantina-x-fiesta-neon-fri-14-jun-kent-st-hotel-tickets-884317205567?aff=ebdssbdestsearch
43,WeLove Sydney | Home The Venue,2024-06-14 22:00:00,,Home Rooftop,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",22.0,22.0,,https://www.eventbrite.com.au/e/welove-sydney-home-the-venue-tickets-911059472407?aff=ebdssbdestsearch
44,BlueScope Youth Orchestra - Dapto Ribbonwood Centre,2024-06-15 11:00:00,120.0,Dapto Ribbonwood Centre,"93/109 Princes Hwy Dapto, NSW 2530",0.0,0.0,,https://www.eventbrite.com.au/e/bluescope-youth-orchestra-dapto-ribbonwood-centre-tickets-845556120117?aff=ebdssbdestsearch
45,Aqua Jazz Lunch,2024-06-15 12:30:00,,King Street Wharf,"Lime Street Sydney, NSW 2000",76.15,320.27,,https://www.eventbrite.com.au/e/aqua-jazz-lunch-tickets-883905935447?aff=ebdssbdestsearch
46,MICHAEL JACKSON Themed Silent Disco Tour by DISCO LOCO,2024-06-15 14:00:00,,Chinese Garden of Friendship,"Cnr Harbour Street Darling Harbour, NSW 2000",21.84,42.78,,https://www.eventbrite.com.au/e/michael-jackson-themed-silent-disco-tour-by-disco-loco-tickets-867988526047?aff=ebdssbdestsearch
47,DISCO LOCO - The Craziest Silent Disco Tour!,2024-06-15 16:00:00,,Customs House,"31 Alfred Street Sydney, NSW 2000",32.31,37.55,,https://www.eventbrite.com.au/e/disco-loco-the-craziest-silent-disco-tour-tickets-872229781757?aff=ebdssbdestsearch
48,Jazz Night at Dobell House,2024-06-15 17:30:00,,Dobell House,"47 Dobell Drive Wangi Wangi, NSW 2267",29.63,32.8,,https://www.eventbrite.com.au/e/jazz-night-at-dobell-house-tickets-868133620027?aff=ebdssbdestsearch
49,Beatdown Demonstration.,2024-06-15 18:00:00,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",22.67,22.67,,https://www.eventbrite.com.au/e/beatdown-demonstration-tickets-875642108117?aff=ebdssbdestsearch
50,Glass Island -Act7 Records pres. Change We Need- Sat 15 Jun - VIVID SYDNEY,2024-06-15 18:20:00,,Glass Island - check event info for Wharf Details,"King Street Wharf Darling Harbour Sydney, NSW 2000",49.4,49.4,,https://www.eventbrite.com.au/e/glass-island-act7-records-pres-change-we-need-sat-15-jun-vivid-sydney-tickets-851992361087?aff=ebdssbdestsearch
51,TJMR Presents : BANGERS at 9pm,2024-06-15 18:30:00,300.0,Elton Chong,"388 High Street Penrith, NSW 2750",33.08,33.08,,https://www.eventbrite.com.au/e/tjmr-presents-bangers-at-9pm-tickets-906529242367?aff=ebdssbdestsearch
52,Rock N Retro Disco,2024-06-15 18:45:00,,Eastern Pontoon Circular Quay,"7 Macquarie Street Sydney, NSW 2000",103.29,103.29,,https://www.eventbrite.com.au/e/rock-n-retro-disco-tickets-886014101027?aff=ebdssbdestsearch
53,Vivid Sydney Harbour Cruise 2024 - SKY DECK SPECTACULAR!,2024-06-15 18:55:00,,King Street Wharf 8,"King Street Sydney, NSW 2000",22.49,33.08,,https://www.eventbrite.com/e/vivid-sydney-harbour-cruise-2024-sky-deck-spectacular-tickets-921999093107?aff=ebdssbdestsearch
54,Josh Setterfield - First Hometown Headline,2024-06-15 19:00:00,240.0,"Wangi RSL Club, Watkins Rd","Wangi Wangi, NSW 2267",43.33,89.68,Going fast,https://www.eventbrite.com.au/e/josh-setterfield-first-hometown-headline-tickets-879337130027?aff=ebdssbdestsearch
55,Special Event Of Viet Pho ft Colin Hennerz,2024-06-15 19:00:00,420.0,Việt Phố Entertainment,"2 George Street Yagoona, NSW 2199",43.66,54.26,,https://www.eventbrite.com/e/special-event-of-viet-pho-ft-colin-hennerz-tickets-895244098197?aff=ebdssbdestsearch
56,Vivid In The Harbour - Light Show Cruise (All Ages),2024-06-15 19:00:00,,King St Wharf 3 - Cadman Cruises,"King Street Wharf 3 Darling Harbour, NSW 2000",38.45,38.45,Going fast,https://www.eventbrite.com.au/e/vivid-in-the-harbour-light-show-cruise-all-ages-tickets-894171259307?aff=ebdssbdestsearch
57,Wharf Bar x Bondi Lines Saturday: Free Entry,2024-06-15 19:00:00,,Wharf Bar,"East Esplanade Manly, NSW 2095",0.0,0.0,,https://www.eventbrite.com.au/e/wharf-bar-x-bondi-lines-saturday-free-entry-tickets-558316629067?aff=ebdssbdestsearch
58,Alain Johannes (CHL/USA) Katoomba,2024-06-15 20:00:00,180.0,The Baroque Room,"15 Katoomba Street Katoomba, NSW 2780",57.71,57.71,Going fast,https://www.eventbrite.com.au/e/alain-johannes-chlusa-katoomba-tickets-813686286587?aff=ebdssbdestsearch
59,Bondi Lines x Argyle Saturday | Free pre 10pm and Discounted Anytime Entry,2024-06-15 20:00:00,,The Argyle,"18 Argyle Street The Rocks, NSW 2000",0.0,16.91,,https://www.eventbrite.com.au/e/bondi-lines-x-argyle-saturday-free-pre-10pm-and-discounted-anytime-entry-tickets-472074636947?aff=ebdssbdestsearch
60,DJ ROCKY SHOW SATURDAY NIGHTS PLUMPTON HOTEL SONG REQUESTS ALL NIGHT LONG!,2024-06-15 20:00:00,,Plumpton Hotel,"556 Richmond Road Glendenning, NSW 2761",,,,https://www.eventbrite.com.au/e/dj-rocky-show-saturday-nights-plumpton-hotel-song-requests-all-night-long-tickets-391673264277?aff=ebdssbdestsearch
61,"Soda Saturday - Free Entry & Drink pre 10pm, $10 Off Entry10pm-12am",2024-06-15 20:00:00,,The Soda Factory,"16 Wentworth Avenue Surry Hills, NSW 2010",0.0,0.0,,https://www.eventbrite.com.au/e/soda-saturday-free-entry-drink-pre-10pm-10-off-entry10pm-12am-tickets-461985931357?aff=ebdssbdestsearch
62,The Argyle Saturdays ft. Timomatic // FREE & Discounted Entry // SYDVIP,2024-06-15 20:00:00,,The Argyle,"18 Argyle Street The Rocks, NSW 2000",0.0,11.9,,https://www.eventbrite.com.au/e/the-argyle-saturdays-ft-timomatic-free-discounted-entry-sydvip-tickets-908016470707?aff=ebdssbdestsearch
63,"Throw Back - 80s, 90s, Noughties - Vivid Boat Party + Drone Show",2024-06-15 20:00:00,240.0,King Street Wharf,"35 The Promenade Sydney, NSW 2000",22.32,48.42,,https://www.eventbrite.com.au/e/throw-back-80s-90s-noughties-vivid-boat-party-drone-show-tickets-795782495867?aff=ebdssbdestsearch
64,Homemade Saturdays - 15th June 2024,2024-06-15 21:00:00,,Home Main Venue,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",16.5,27.5,,https://www.eventbrite.com.au/e/homemade-saturdays-15th-june-2024-tickets-865993639287?aff=ebdssbdestsearch
65,La Cueva Superclub Saturdays | SYDNEY | SAT 15 JUN | OLD SCHOOL TAKEOVER,2024-06-15 21:00:00,540.0,CULT,"33 Bayswater Road Potts Point, NSW 2011",17.86,23.05,,https://www.eventbrite.com.au/e/la-cueva-superclub-saturdays-sydney-sat-15-jun-old-school-takeover-tickets-884732427507?aff=ebdssbdestsearch
66,Vivid In The Harbour Pass (18+),2024-06-15 21:00:00,,Vivid Pass Collection Point,"The Rawson (Rocks) or Home The Venue (Darling Harbour) Sydney, NSW 2000",28.07,28.07,,https://www.eventbrite.com.au/e/vivid-in-the-harbour-pass-18-tickets-911257605027?aff=ebdssbdestsearch
67,CIRCUSCIRCUS SATURDAYS,2024-06-15 21:30:00,,Chicane Sydney,"22 Bayswater Road Potts Point, NSW 2011",21.13,33.76,,https://www.eventbrite.com/e/circuscircus-saturdays-tickets-848121392917?aff=ebdssbdestsearch
68,AFROBEATS vs AMAPIANO,2024-06-15 22:00:00,300.0,871 George St,"reet Sydney, NSW 2000",27.48,32.75,,https://www.eventbrite.com.au/e/afrobeats-vs-amapiano-tickets-919107333777?aff=ebdssbdestsearch
69,"BOLLYWOOD RAVE at Blackbird,Darling Harbour, Sydney",2024-06-15 22:00:00,300.0,Blackbird Cafe,"Sydney, NSW 2000",27.19,52.25,,https://www.eventbrite.com.au/e/bollywood-rave-at-blackbirddarling-harbour-sydney-tickets-917227761927?aff=ebdssbdestsearch
70,BollyVivid 2.0 - Neon Bollywood Party(Vivid Sydney Closing Night),2024-06-15 22:00:00,,The Flynn,"2A Bligh Street Sydney, NSW 2000",22.49,54.26,,https://www.eventbrite.com.au/e/bollyvivid-20-neon-bollywood-partyvivid-sydney-closing-night-tickets-887864967017?aff=ebdssbdestsearch
71,Garry @ Oxford Underground ft. CESSY,2024-06-15 22:00:00,360.0,The Oxford Hotel,"134 Oxford Street Darlinghurst, NSW 2010",15.0,25.0,,https://www.eventbrite.com/e/garry-oxford-underground-ft-cessy-tickets-910541202247?aff=ebdssbdestsearch
72,Latinos Vip Saturdays // Pre-Sale $10 Early Birds//,2024-06-15 22:00:00,,The Rawson,"100 George Street The Rocks, NSW 2000",11.9,17.19,,https://www.eventbrite.com/e/latinos-vip-saturdays-pre-sale-10-early-birds-tickets-898839963527?aff=ebdssbdestsearch
73,Mischief Madness 2,2024-06-15 22:00:00,,Burdekin Hotel,"2 Oxford Street Darlinghurst, NSW 2010",18.47,23.66,,https://www.eventbrite.com.au/e/mischief-madness-2-tickets-917163860797?aff=ebdssbdestsearch
74,WAVE CLUB,2024-06-15 22:00:00,330.0,WAVE CLUB,"396 Pitt Street Haymarket, NSW 2000",20.0,20.0,,https://www.eventbrite.com/e/wave-club-tickets-919470479957?aff=ebdssbdestsearch
