,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL,Address_latitude,Address_longitude
0,Feel music,10/06/2024 10:00,120,Opéra de Sydney,"#Bennelong Point Sydney, NSW 2000",0,0,Going fast,https://www.eventbrite.com.au/e/feel-music-tickets-894977811727?aff=ebdssbdestsearch,-33.85716,151.21496
1,Harmony Festival Sydney 2024,10/06/2024 18:30,150,2 Australia Ave,"nue Sydney Olympic Park, NSW 2127",0,0,Sales end soon,https://www.eventbrite.com.au/e/harmony-festival-sydney-2024-tickets-910122429687?aff=ebdssbdestsearch,-33.83851937,151.0623842
2,Silent Disco Party Walk - Vivid Tours - Circular Quay,10/06/2024 18:30,,Customs House,"31 Alfred St Sydney, NSW 2000",0,69.07,Sales end soon,https://www.eventbrite.com.au/e/silent-disco-party-walk-vivid-tours-circular-quay-tickets-882707811827?aff=ebdssbdestsearch,-33.8621982,151.2108572
3,VIVID SYDNEY Silent Disco Tour by DISCO LOCO,10/06/2024 19:00,,Chinese Garden of Friendship,"Cnr Harbour Street Darling Harbour, NSW 2000",34.4,37.55,Sales end soon,https://www.eventbrite.com.au/e/vivid-sydney-silent-disco-tour-by-disco-loco-tickets-872264816547?aff=ebdssbdestsearch,-33.87833322,151.2032986
4,Guitar School : Children - June,11/06/2024 16:00,,Wetherill Park Library,"561-583 Polding Street Wetherill Park, NSW 2164",0,0,Sales end soon,https://www.eventbrite.com.au/e/guitar-school-children-june-tickets-896764666257?aff=ebdssbdestsearch,-33.85869038,150.8987449
5,Guitar School: Youth/Adults - June,11/06/2024 17:00,,Wetherill Park Library,"561-583 Polding Street Wetherill Park, NSW 2164",0,0,Going fast,https://www.eventbrite.com.au/e/guitar-school-youthadults-june-tickets-896767113577?aff=ebdssbdestsearch,-33.85869038,150.8987449
6,RINGO BINGO MUSIC BINGO CLARENDON TAVERN TUESDAYS,11/06/2024 19:00,,Clarendon Tavern,"244 Hawkesbury Valley Way Clarendon, NSW 2756",,,Sales end soon,https://www.eventbrite.com.au/e/ringo-bingo-music-bingo-clarendon-tavern-tuesdays-tickets-795811261907?aff=ebdssbdestsearch,-33.6085326,150.7887977
7,"Soda Tuesday - Free Drink on Arrival, $1 HotDogs & Musical Bingo",11/06/2024 19:00,,The Soda Factory,"16 Wentworth Avenue Surry Hills, NSW 2010",0,0,Sales end soon,https://www.eventbrite.com.au/e/soda-tuesday-free-drink-on-arrival-1-hotdogs-musical-bingo-tickets-517134070927?aff=ebdssbdestsearch,-33.87798409,151.2117896
8,Tuesday Live Jazz,11/06/2024 19:30,,185 Glebe Point Rd,"185 Glebe Point Road Glebe, NSW 2037",0,0,Sales end soon,https://www.eventbrite.com.au/e/tuesday-live-jazz-tickets-834606930797?aff=ebdssbdestsearch,-33.88061689,151.1879062
9,Bondi Lines & Scary Canary Silent Disco Tuesday - Free Drink on Entry,11/06/2024 21:00,,The Scary Canary,"469 Kent Street Sydney, NSW 2000",0,0,Sales end soon,https://www.eventbrite.com.au/e/bondi-lines-scary-canary-silent-disco-tuesday-free-drink-on-entry-tickets-621459571307?aff=ebdssbdestsearch,-33.87306215,151.2049104
10,Music Production Workshop with Heaps Decent,12/06/2024 16:00,,Synergy Youth Centre,"8 Little Street Lane Cove, NSW 2066",0,0,Sales end soon,https://www.eventbrite.com.au/e/music-production-workshop-with-heaps-decent-tickets-908016340317?aff=ebdssbdestsearch,-33.81389053,151.1712426
11,Sheaf Wednesday - Free Drink on Arrival PRE 10PM,12/06/2024 19:00,,The Golden Sheaf,"429 New South Head Road Double Bay, NSW 2026",0,0,Sales end soon,https://www.eventbrite.com.au/e/sheaf-wednesday-free-drink-on-arrival-pre-10pm-tickets-558298625217?aff=ebdssbdestsearch,-33.87782152,151.2436511
12,Wednesday Jazz Joints,12/06/2024 20:00,,The Dock,"182 Redfern Street Redfern, NSW 2016",0,0,,https://www.eventbrite.com.au/e/wednesday-jazz-joints-tickets-511364343517?aff=ebdssbdestsearch,-33.89225231,151.2008653
13,Alex Sky Trio,12/06/2024 20:30,150,Foundry 616,"616 Harris Street Ultimo, NSW 2007",29.29,55.39,Sales end soon,https://www.eventbrite.com.au/e/alex-sky-trio-tickets-906443656377?aff=ebdssbdestsearch,-33.88059765,151.2004608
14,RINGO BINGO MUSIC BINGO THURSDAYS PLUMPTON HOTEL,13/06/2024 19:00,,Plumpton Hotel,"556 Richmond Road Glendenning, NSW 2761",,,,https://www.eventbrite.com.au/e/ringo-bingo-music-bingo-thursdays-plumpton-hotel-tickets-391661388757?aff=ebdssbdestsearch,-33.74030932,150.8609943
15,Vivid In The Harbour - Boat Party (18+),13/06/2024 19:00,,King St Wharf 3 - Cadman Cruises,"King St Wharf 3 Darling Harbour, NSW 2000",22.87,43.64,Sales end soon,https://www.eventbrite.com.au/e/vivid-in-the-harbour-boat-party-18-tickets-887447518417?aff=ebdssbdestsearch,-33.86874701,151.2073617
16,Tourismo Album Launch,13/06/2024 20:30,150,Foundry 616,"616 Harris Street Ultimo, NSW 2007",21.98,48.08,Sales end soon,https://www.eventbrite.com.au/e/tourismo-album-launch-tickets-900090313357?aff=ebdssbdestsearch,-33.88059765,151.2004608
17,La Cueva Superclub Thursdays | SYDNEY | THU 13 JUN  | CARRETE: CHILE NIGHT,13/06/2024 21:00,510,CULT,"33 Bayswater Road Potts Point, NSW 2011",7.5,17.86,Sales end soon,https://www.eventbrite.com.au/e/la-cueva-superclub-thursdays-sydney-thu-13-jun-carrete-chile-night-tickets-879969531557?aff=ebdssbdestsearch,-33.87530356,151.223794
18,Official End of Exams Vivid Boat Party,13/06/2024 21:00,,King Street Wharf 3 - Cadman Cruises,"King Street Wharf 3  - Cadman Cruises Darling Harbour, NSW 2000",17.68,22.87,Sales end soon,https://www.eventbrite.com.au/e/official-end-of-exams-vivid-boat-party-tickets-918679734817?aff=ebdssbdestsearch,-33.86874701,151.2073617
19,The Ultimate Backpacker & International Boat Party  - Vivid Cruise,13/06/2024 21:00,,King St Wharf 3 - Cadman Cruises,"King Street Wharf 3 Sydney, NSW 2000",0,12.49,Sales end soon,https://www.eventbrite.com.au/e/the-ultimate-backpacker-international-boat-party-vivid-cruise-tickets-920566297577?aff=ebdssbdestsearch,-33.8663807,151.2016548
20,Pearl Vivid (Weekend),14/06/2024 17:45,,King Street Wharf 3,"3 The Promenade Sydney, NSW 2000",34.39,68.84,Sales end soon,https://www.eventbrite.com.au/e/pearl-vivid-weekend-tickets-912478256027?aff=ebdssbdestsearch,-33.8687418,151.2015158
21,Live @ the Library | Variety Night |18+ years,14/06/2024 18:00,150,Ryde Library,"1 Pope Street Ryde, NSW 2112",10.5,10.5,,https://www.eventbrite.com.au/e/live-the-library-variety-night-18-years-tickets-907257580847?aff=ebdssbdestsearch,-33.81111817,151.1062311
22,Tapestry Album Tour,14/06/2024 19:00,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",24.9,24.9,,https://www.eventbrite.com.au/e/tapestry-album-tour-tickets-896873822747?aff=ebdssbdestsearch,-33.87713995,151.212953
23,Cardea Presents: Grecian Beats,14/06/2024 19:30,120,Cardea Sydney,"300 Barangaroo Avenue #Shop 2, T3.01 Barangaroo, NSW 2000",33.08,96.61,Going fast,https://www.eventbrite.com.au/e/cardea-presents-grecian-beats-tickets-888120441147?aff=ebdssbdestsearch,-33.86512546,151.202201
24,Argyle Friday x Bondi Lines: Free Entry pre 10pm OR Discounted Entry,14/06/2024 20:00,,The Argyle,"18 Argyle Street The Rocks, NSW 2000",0,12.64,,https://www.eventbrite.com.au/e/argyle-friday-x-bondi-lines-free-entry-pre-10pm-or-discounted-entry-tickets-415165349737?aff=ebdssbdestsearch,-33.85870626,151.2078794
25,Argyle Fridays: Free Entry + Free Drink or $10 Anytime Entry,14/06/2024 20:00,,The Argyle,"18 Argyle Street The Rocks, NSW 2000",0,12.49,,https://www.eventbrite.com.au/e/argyle-fridays-free-entry-free-drink-or-10-anytime-entry-tickets-887328512467?aff=ebdssbdestsearch,-33.85870626,151.2078794
26,FRIDAYS AT THE ALLEY PRESENT,14/06/2024 20:00,180,Agincourt Hotel,"871 George Street Sydney, NSW 2000",17.19,17.19,,https://www.eventbrite.com.au/e/fridays-at-the-alley-present-tickets-919769594617?aff=ebdssbdestsearch,-33.88374849,151.20223
27,Glass Island - 808 pres. VIVID FRIDAY - Fri 14 June - VIVID SYDNEY,14/06/2024 20:00,,Glass Island - check event info for Wharf Details,"King Street Wharf Darling Harbour Sydney, NSW 2000",49.4,49.4,Going fast,https://www.eventbrite.com.au/e/glass-island-808-pres-vivid-friday-fri-14-june-vivid-sydney-tickets-880645072117?aff=ebdssbdestsearch,-33.869019,151.201576
28,ONE NIGHT ONLY! Boiler Room Setup ft. Rockafellas,14/06/2024 20:00,180,The Argyle,"18 Argyle Street The Rocks, NSW 2000",10.87,21.2,,https://www.eventbrite.com/e/one-night-only-boiler-room-setup-ft-rockafellas-tickets-893430814617?aff=ebdssbdestsearch,-33.85870626,151.2078794
29,RANGEELA - Vivid Bollywood Cruise Party,14/06/2024 20:00,,King Street Wharf,"Sydney, NSW 2000",27.78,90,Almost full,https://www.eventbrite.com.au/e/rangeela-vivid-bollywood-cruise-party-tickets-880169870777?aff=ebdssbdestsearch,-33.8727635,151.2053446
30,Soda Friday - Free Entry & Drink PRE 12AM,14/06/2024 20:00,,The Soda Factory,"16 Wentworth Avenue Surry Hills, NSW 2010",0,0,,https://www.eventbrite.com.au/e/soda-friday-free-entry-drink-pre-12am-tickets-461990314467?aff=ebdssbdestsearch,-33.87798409,151.2117896
31,Neon Bollywood VIVID Cruise Vol.3,14/06/2024 20:30,,King Street Wharf Darling Harbour,"Lime Street Sydney, NSW 2000",22.49,43.66,,https://www.eventbrite.com.au/e/neon-bollywood-vivid-cruise-vol3-tickets-918110833217?aff=ebdssbdestsearch,-33.86721169,151.2018565
32,Sydney's Biggest End of Semester Black Party.,14/06/2024 20:30,,King Street Wharf 3 - Cadman Cruises,"King Street Wharf 3 Darling Harbour, NSW 2000",28.07,61.81,Almost full,https://www.eventbrite.com.au/e/sydneys-biggest-end-of-semester-black-party-tickets-915014983447?aff=ebdssbdestsearch,-33.86874701,151.2073617
33,BLISS,14/06/2024 21:00,300,The Civic Hotel,"388 Pitt Street Sydney, NSW 2000",17.19,33.08,,https://www.eventbrite.com/e/bliss-tickets-908061655857?aff=ebdssbdestsearch,-33.87794302,151.2077358
34,Dock Fridays,14/06/2024 21:00,,The Dock,"182 Redfern Street Redfern, NSW 2016",0,0,,https://www.eventbrite.com.au/e/dock-fridays-tickets-529882351377?aff=ebdssbdestsearch,-33.89225231,151.2008653
35,Pibe Cantina x Bondi Lines Discounted Entry & Free Drink,14/06/2024 21:00,,Kent St. Hotel,"349 Kent Street Sydney, NSW 2000",12.91,12.91,,https://www.eventbrite.com.au/e/pibe-cantina-x-bondi-lines-discounted-entry-free-drink-tickets-868813393247?aff=ebdssbdestsearch,-33.8695835,151.2046902
36,STEPPERS ft. blkout. + SUPPORTS,14/06/2024 21:00,480,231 Oxford St,"reet Darlinghurst, NSW 2010",17.19,27.78,,https://www.eventbrite.com.au/e/steppers-ft-blkout-supports-tickets-911144346267?aff=ebdssbdestsearch,-33.87908769,151.2206341
37,Vivid Latino - Cruise Party - Closing Night,14/06/2024 21:00,180,King Street Wharf 9,"Sydney, NSW 2000",25.13,48.96,,https://www.eventbrite.com.au/e/vivid-latino-cruise-party-closing-night-tickets-906444258177?aff=ebdssbdestsearch,-33.8727635,151.2053446
38,FRI 14 JUNE - WAO SUPERCLUB @ IVY,14/06/2024 21:30,,ivy precinct,"330 George Street Sydney, NSW 2000",30.25,60.5,,https://www.eventbrite.com.au/e/fri-14-june-wao-superclub-ivy-tickets-906008254077?aff=ebdssbdestsearch,-33.86662343,151.2074597
39,MYST NIGHTCLUB,14/06/2024 21:30,,Home Main Venue,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",27.5,64.99,,https://www.eventbrite.com.au/e/myst-nightclub-tickets-915834183697?aff=ebdssbdestsearch,-33.8695335,151.2020692
40,Misery Swiftness: Swemo Night - Sydney (Plus One Co),14/06/2024 22:00,,Tokio Hotel,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",15.03,24.2,,https://www.eventbrite.com.au/e/misery-swiftness-swemo-night-sydney-plus-one-co-tickets-890045448897?aff=ebdssbdestsearch,-33.8695335,151.2020692
41,NO PHOTOS - The Return,14/06/2024 22:00,300,Noir Sydney,"163 Oxford Street Darlinghurst, NSW 2010",0,0,,https://www.eventbrite.com/e/no-photos-the-return-tickets-911956665937?aff=ebdssbdestsearch,-33.880349,151.2160857
42,Pibe Cantina x Fiesta Neon | FRI 14 JUN | Kent St Hotel,14/06/2024 22:00,360,Kent Street Hotel,"349 Kent St Sydney, NSW 2000",0,12.68,,https://www.eventbrite.com.au/e/pibe-cantina-x-fiesta-neon-fri-14-jun-kent-st-hotel-tickets-884317205567?aff=ebdssbdestsearch,-33.8695835,151.2046902
43,WeLove Sydney | Home The Venue,14/06/2024 22:00,,Home Rooftop,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",22,22,,https://www.eventbrite.com.au/e/welove-sydney-home-the-venue-tickets-911059472407?aff=ebdssbdestsearch,-33.8695335,151.2020692
44,BlueScope Youth Orchestra - Dapto Ribbonwood Centre,15/06/2024 11:00,120,Dapto Ribbonwood Centre,"93/109 Princes Hwy Dapto, NSW 2530",0,0,,https://www.eventbrite.com.au/e/bluescope-youth-orchestra-dapto-ribbonwood-centre-tickets-845556120117?aff=ebdssbdestsearch,-34.49676439,150.7928277
45,Aqua Jazz Lunch,15/06/2024 12:30,,King Street Wharf,"Lime Street Sydney, NSW 2000",76.15,320.27,,https://www.eventbrite.com.au/e/aqua-jazz-lunch-tickets-883905935447?aff=ebdssbdestsearch,-33.86721169,151.2018565
46,MICHAEL JACKSON Themed Silent Disco Tour by DISCO LOCO,15/06/2024 14:00,,Chinese Garden of Friendship,"Cnr Harbour Street Darling Harbour, NSW 2000",21.84,42.78,,https://www.eventbrite.com.au/e/michael-jackson-themed-silent-disco-tour-by-disco-loco-tickets-867988526047?aff=ebdssbdestsearch,-33.87833322,151.2032986
47,DISCO LOCO - The Craziest Silent Disco Tour!,15/06/2024 16:00,,Customs House,"31 Alfred Street Sydney, NSW 2000",32.31,37.55,,https://www.eventbrite.com.au/e/disco-loco-the-craziest-silent-disco-tour-tickets-872229781757?aff=ebdssbdestsearch,-33.8621982,151.2108572
48,Jazz Night at Dobell House,15/06/2024 17:30,,Dobell House,"47 Dobell Drive Wangi Wangi, NSW 2267",29.63,32.8,,https://www.eventbrite.com.au/e/jazz-night-at-dobell-house-tickets-868133620027?aff=ebdssbdestsearch,-33.07104331,151.5846633
49,Beatdown Demonstration.,15/06/2024 18:00,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",22.67,22.67,,https://www.eventbrite.com.au/e/beatdown-demonstration-tickets-875642108117?aff=ebdssbdestsearch,-33.87713995,151.212953
50,Glass Island -Act7 Records pres. Change We Need- Sat 15 Jun - VIVID SYDNEY,15/06/2024 18:20,,Glass Island - check event info for Wharf Details,"King Street Wharf Darling Harbour Sydney, NSW 2000",49.4,49.4,,https://www.eventbrite.com.au/e/glass-island-act7-records-pres-change-we-need-sat-15-jun-vivid-sydney-tickets-851992361087?aff=ebdssbdestsearch,-33.869019,151.201576
51,TJMR Presents : BANGERS at 9pm,15/06/2024 18:30,300,Elton Chong,"388 High Street Penrith, NSW 2750",33.08,33.08,,https://www.eventbrite.com.au/e/tjmr-presents-bangers-at-9pm-tickets-906529242367?aff=ebdssbdestsearch,-33.75399735,150.6982008
52,Rock N Retro Disco,15/06/2024 18:45,,Eastern Pontoon Circular Quay,"7 Macquarie Street Sydney, NSW 2000",103.29,103.29,,https://www.eventbrite.com.au/e/rock-n-retro-disco-tickets-886014101027?aff=ebdssbdestsearch,-33.86027296,151.2129833
53,Vivid Sydney Harbour Cruise 2024 - SKY DECK SPECTACULAR!,15/06/2024 18:55,,King Street Wharf 8,"King Street Sydney, NSW 2000",22.49,33.08,,https://www.eventbrite.com/e/vivid-sydney-harbour-cruise-2024-sky-deck-spectacular-tickets-921999093107?aff=ebdssbdestsearch,-33.86874701,151.2073617
54,Josh Setterfield - First Hometown Headline,15/06/2024 19:00,240,"Wangi RSL Club, Watkins Rd","Wangi Wangi, NSW 2267",43.33,89.68,Going fast,https://www.eventbrite.com.au/e/josh-setterfield-first-hometown-headline-tickets-879337130027?aff=ebdssbdestsearch,-33.0694641,151.588574
55,Special Event Of Viet Pho ft Colin Hennerz,15/06/2024 19:00,420,Việt Phố Entertainment,"2 George Street Yagoona, NSW 2199",43.66,54.26,,https://www.eventbrite.com/e/special-event-of-viet-pho-ft-colin-hennerz-tickets-895244098197?aff=ebdssbdestsearch,-33.90569106,151.0354097
56,Vivid In The Harbour - Light Show Cruise (All Ages),15/06/2024 19:00,,King St Wharf 3 - Cadman Cruises,"King Street Wharf 3 Darling Harbour, NSW 2000",38.45,38.45,Going fast,https://www.eventbrite.com.au/e/vivid-in-the-harbour-light-show-cruise-all-ages-tickets-894171259307?aff=ebdssbdestsearch,-33.86874701,151.2073617
57,Wharf Bar x Bondi Lines Saturday: Free Entry,15/06/2024 19:00,,Wharf Bar,"East Esplanade Manly, NSW 2095",0,0,,https://www.eventbrite.com.au/e/wharf-bar-x-bondi-lines-saturday-free-entry-tickets-558316629067?aff=ebdssbdestsearch,-33.80135163,151.2867377
58,Alain Johannes (CHL/USA) Katoomba,15/06/2024 20:00,180,The Baroque Room,"15 Katoomba Street Katoomba, NSW 2780",57.71,57.71,Going fast,https://www.eventbrite.com.au/e/alain-johannes-chlusa-katoomba-tickets-813686286587?aff=ebdssbdestsearch,-33.71311419,150.3109219
59,Bondi Lines x Argyle Saturday | Free pre 10pm and Discounted Anytime Entry,15/06/2024 20:00,,The Argyle,"18 Argyle Street The Rocks, NSW 2000",0,16.91,,https://www.eventbrite.com.au/e/bondi-lines-x-argyle-saturday-free-pre-10pm-and-discounted-anytime-entry-tickets-472074636947?aff=ebdssbdestsearch,-33.85870626,151.2078794
60,DJ ROCKY SHOW SATURDAY NIGHTS PLUMPTON HOTEL SONG REQUESTS ALL NIGHT LONG!,15/06/2024 20:00,,Plumpton Hotel,"556 Richmond Road Glendenning, NSW 2761",,,,https://www.eventbrite.com.au/e/dj-rocky-show-saturday-nights-plumpton-hotel-song-requests-all-night-long-tickets-391673264277?aff=ebdssbdestsearch,-33.74030932,150.8609943
61,"Soda Saturday - Free Entry & Drink pre 10pm, $10 Off Entry10pm-12am",15/06/2024 20:00,,The Soda Factory,"16 Wentworth Avenue Surry Hills, NSW 2010",0,0,,https://www.eventbrite.com.au/e/soda-saturday-free-entry-drink-pre-10pm-10-off-entry10pm-12am-tickets-461985931357?aff=ebdssbdestsearch,-33.87798409,151.2117896
62,The Argyle Saturdays ft. Timomatic // FREE & Discounted Entry // SYDVIP,15/06/2024 20:00,,The Argyle,"18 Argyle Street The Rocks, NSW 2000",0,11.9,,https://www.eventbrite.com.au/e/the-argyle-saturdays-ft-timomatic-free-discounted-entry-sydvip-tickets-908016470707?aff=ebdssbdestsearch,-33.85870626,151.2078794
63,"Throw Back - 80s, 90s, Noughties - Vivid Boat Party + Drone Show",15/06/2024 20:00,240,King Street Wharf,"35 The Promenade Sydney, NSW 2000",22.32,48.42,,https://www.eventbrite.com.au/e/throw-back-80s-90s-noughties-vivid-boat-party-drone-show-tickets-795782495867?aff=ebdssbdestsearch,-33.98591233,151.1316147
64,Homemade Saturdays - 15th June 2024,15/06/2024 21:00,,Home Main Venue,"101/1-5 Wheat Road Cockle Bay Wharf Darling Park, NSW 2000",16.5,27.5,,https://www.eventbrite.com.au/e/homemade-saturdays-15th-june-2024-tickets-865993639287?aff=ebdssbdestsearch,-33.8695335,151.2020692
65,La Cueva Superclub Saturdays | SYDNEY | SAT 15 JUN | OLD SCHOOL TAKEOVER,15/06/2024 21:00,540,CULT,"33 Bayswater Road Potts Point, NSW 2011",17.86,23.05,,https://www.eventbrite.com.au/e/la-cueva-superclub-saturdays-sydney-sat-15-jun-old-school-takeover-tickets-884732427507?aff=ebdssbdestsearch,-33.87530356,151.223794
66,Vivid In The Harbour Pass (18+),15/06/2024 21:00,,Vivid Pass Collection Point,"The Rawson (Rocks) or Home The Venue (Darling Harbour) Sydney, NSW 2000",28.07,28.07,,https://www.eventbrite.com.au/e/vivid-in-the-harbour-pass-18-tickets-911257605027?aff=ebdssbdestsearch,-33.8550394,151.2100755
67,CIRCUSCIRCUS SATURDAYS,15/06/2024 21:30,,Chicane Sydney,"22 Bayswater Road Potts Point, NSW 2011",21.13,33.76,,https://www.eventbrite.com/e/circuscircus-saturdays-tickets-848121392917?aff=ebdssbdestsearch,-33.87481133,151.223886
68,AFROBEATS vs AMAPIANO,15/06/2024 22:00,300,871 George St,"reet Sydney, NSW 2000",27.48,32.75,,https://www.eventbrite.com.au/e/afrobeats-vs-amapiano-tickets-919107333777?aff=ebdssbdestsearch,-33.8727635,151.2053446
69,"BOLLYWOOD RAVE at Blackbird,Darling Harbour, Sydney",15/06/2024 22:00,300,Blackbird Cafe,"Sydney, NSW 2000",27.19,52.25,,https://www.eventbrite.com.au/e/bollywood-rave-at-blackbirddarling-harbour-sydney-tickets-917227761927?aff=ebdssbdestsearch,-33.8727635,151.2053446
70,BollyVivid 2.0 - Neon Bollywood Party(Vivid Sydney Closing Night),15/06/2024 22:00,,The Flynn,"2A Bligh Street Sydney, NSW 2000",22.49,54.26,,https://www.eventbrite.com.au/e/bollyvivid-20-neon-bollywood-partyvivid-sydney-closing-night-tickets-887864967017?aff=ebdssbdestsearch,-33.8654819,151.2109092
71,Garry @ Oxford Underground ft. CESSY,15/06/2024 22:00,360,The Oxford Hotel,"134 Oxford Street Darlinghurst, NSW 2010",15,25,,https://www.eventbrite.com/e/garry-oxford-underground-ft-cessy-tickets-910541202247?aff=ebdssbdestsearch,-33.88021284,151.2167193
72,Latinos Vip Saturdays // Pre-Sale $10 Early Birds//,15/06/2024 22:00,,The Rawson,"100 George Street The Rocks, NSW 2000",11.9,17.19,,https://www.eventbrite.com/e/latinos-vip-saturdays-pre-sale-10-early-birds-tickets-898839963527?aff=ebdssbdestsearch,-33.8582186,151.20939
73,Mischief Madness 2,15/06/2024 22:00,,Burdekin Hotel,"2 Oxford Street Darlinghurst, NSW 2010",18.47,23.66,,https://www.eventbrite.com.au/e/mischief-madness-2-tickets-917163860797?aff=ebdssbdestsearch,-33.87713995,151.212953
74,WAVE CLUB,15/06/2024 22:00,330,WAVE CLUB,"396 Pitt Street Haymarket, NSW 2000",20,20,,https://www.eventbrite.com/e/wave-club-tickets-919470479957?aff=ebdssbdestsearch,-33.87833596,151.2076759
